"filename", "language", "C++", "Properties", "Groovy", "XML", "YAML", "Markdown", "Dart", "JSON", "HTML", "Swift", "comment", "blank", "total"
"e:\Projects\P_Android_save\flutter project\aggar\README.md", "Markdown", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 7, 17
"e:\Projects\P_Android_save\flutter project\aggar\analysis_options.yaml", "YAML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 22, 4, 29
"e:\Projects\P_Android_save\flutter project\aggar\android\app\build.gradle", "Groovy", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 6, 7, 45
"e:\Projects\P_Android_save\flutter project\aggar\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 4, 1, 8
"e:\Projects\P_Android_save\flutter project\aggar\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 11, 1, 46
"e:\Projects\P_Android_save\flutter project\aggar\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 7, 2, 13
"e:\Projects\P_Android_save\flutter project\aggar\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 7, 2, 13
"e:\Projects\P_Android_save\flutter project\aggar\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9, 1, 19
"e:\Projects\P_Android_save\flutter project\aggar\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9, 1, 19
"e:\Projects\P_Android_save\flutter project\aggar\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 4, 1, 8
"e:\Projects\P_Android_save\flutter project\aggar\android\build.gradle", "Groovy", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"e:\Projects\P_Android_save\flutter project\aggar\android\gradle.properties", "Properties", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"e:\Projects\P_Android_save\flutter project\aggar\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"e:\Projects\P_Android_save\flutter project\aggar\android\settings.gradle", "Groovy", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"e:\Projects\P_Android_save\flutter project\aggar\devtools_options.yaml", "YAML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"e:\Projects\P_Android_save\flutter project\aggar\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 4, 13
"e:\Projects\P_Android_save\flutter project\aggar\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 2, 14
"e:\Projects\P_Android_save\flutter project\aggar\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 1, 123
"e:\Projects\P_Android_save\flutter project\aggar\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 1, 24
"e:\Projects\P_Android_save\flutter project\aggar\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 5
"e:\Projects\P_Android_save\flutter project\aggar\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 1, 1, 38
"e:\Projects\P_Android_save\flutter project\aggar\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 1, 27
"e:\Projects\P_Android_save\flutter project\aggar\ios\Runner\Runner-Bridging-Header.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"e:\Projects\P_Android_save\flutter project\aggar\lib\core\helper\get_font_size.dart", "Dart", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 3, 12
"e:\Projects\P_Android_save\flutter project\aggar\lib\core\helper\scale_factor.dart", "Dart", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 3, 15
"e:\Projects\P_Android_save\flutter project\aggar\lib\core\helper\size_config.dart", "Dart", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"e:\Projects\P_Android_save\flutter project\aggar\lib\core\utils\app_assets.dart", "Dart", 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 92, 46, 193
"e:\Projects\P_Android_save\flutter project\aggar\lib\core\utils\app_colors.dart", "Dart", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 2, 28
"e:\Projects\P_Android_save\flutter project\aggar\lib\core\utils\app_constants.dart", "Dart", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"e:\Projects\P_Android_save\flutter project\aggar\lib\core\utils\app_styles.dart", "Dart", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 7, 7, 46
"e:\Projects\P_Android_save\flutter project\aggar\lib\core\widgets\comment_section.dart", "Dart", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 2, 62
"e:\Projects\P_Android_save\flutter project\aggar\lib\core\widgets\custom_icon.dart", "Dart", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 2, 41
"e:\Projects\P_Android_save\flutter project\aggar\lib\core\widgets\empty_custom.dart", "Dart", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 3, 11
"e:\Projects\P_Android_save\flutter project\aggar\lib\core\widgets\horizontal_line.dart", "Dart", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 2, 22
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\authorization\presentation\views\page_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 1, 3, 54
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\authorization\presentation\views\pick_image.dart", "Dart", 0, 0, 0, 0, 0, 0, 113, 0, 0, 0, 9, 5, 127
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\authorization\presentation\views\sign_in_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 155, 0, 0, 0, 1, 3, 159
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\authorization\presentation\views\sign_up_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 104, 0, 0, 0, 1, 3, 108
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\authorization\presentation\widget\card_type.dart", "Dart", 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 4, 57
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\authorization\presentation\widget\custom_elevated_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 4, 51
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\authorization\presentation\widget\custom_text_from_felid.dart", "Dart", 0, 0, 0, 0, 0, 0, 93, 0, 0, 0, 4, 3, 100
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\authorization\presentation\widget\divider_with_text.dart", "Dart", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 2, 22
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\authorization\presentation\widget\social_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 1, 4, 44
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\authorization\presentation\widget\terms_check.dart", "Dart", 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 5, 62
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\main_screen\presentation\views\main_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 5, 262
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\messages\model\dummy.dart", "Dart", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 2, 48
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\messages\views\messages_status\presentation\views\all_messages_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 3, 11
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\messages\views\messages_status\presentation\views\messages_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 3, 48
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\messages\views\messages_status\presentation\views\no_messages_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 3, 45
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\messages\views\messages_status\presentation\views\request_messages_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 4, 37
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\messages\views\messages_status\presentation\widgets\widgets\avatar_chat_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 2, 31
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\messages\views\messages_status\presentation\widgets\widgets\chat_person.dart", "Dart", 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 3, 78
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\messages\views\messages_status\presentation\widgets\widgets\message_app_bar_with_tab_bar.dart", "Dart", 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 3, 52
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\messages\views\messages_status\presentation\widgets\widgets\name_and_message_chat_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 3, 43
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\messages\views\messages_status\presentation\widgets\widgets\time_and_number_of_msg_chat_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 2, 44
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\messages\views\personal_chat\presentation\model\message.dart", "Dart", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\messages\views\personal_chat\presentation\views\personal_chat_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 3, 47
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\messages\views\personal_chat\presentation\widgets\app_bar_personal_chat.dart", "Dart", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 4, 39
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\messages\views\personal_chat\presentation\widgets\app_bar_personal_message_section.dart", "Dart", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 4, 39
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\messages\views\personal_chat\presentation\widgets\chat_bubble_for_friend.dart", "Dart", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 2, 39
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\messages\views\personal_chat\presentation\widgets\chat_bubble_for_user.dart", "Dart", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 2, 39
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\messages\views\personal_chat\presentation\widgets\image_and_name_person_message.dart", "Dart", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 4, 35
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\messages\views\personal_chat\presentation\widgets\message_text_field_with_attachment_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 3, 38
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\messages\views\personal_chat\presentation\widgets\send_message_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 3, 30
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\messages\views\personal_chat\presentation\widgets\send_messages_with_attach_section.dart", "Dart", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 3, 18
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\messages\views\personal_chat\presentation\widgets\type_message_text_field_with_send_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 3, 25
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\onboarding\presentation\views\onboarding_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 4, 87
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\onboarding\presentation\views\page_view_1.dart", "Dart", 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 2, 3, 57
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\onboarding\presentation\views\page_view_2.dart", "Dart", 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 2, 3, 57
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\onboarding\presentation\views\page_view_3.dart", "Dart", 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 2, 3, 57
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\onboarding\presentation\widgets\next_and_back_button_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 3, 33
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\onboarding\presentation\widgets\start_now_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 4, 50
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\profile\data\car_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 2, 16
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\profile\data\profile_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\profile\presentation\views\profile_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 173, 0, 0, 0, 0, 12, 185
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\profile\presentation\views\temp.dart", "Dart", 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 5, 91
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\profile\presentation\widgets\car_item_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 96, 0, 0, 0, 0, 4, 100
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\profile\presentation\widgets\custom_elevated_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 4, 37
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\profile\presentation\widgets\profile_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 4, 28
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\settings\presentation\views\settings_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 4, 46
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\settings\presentation\widgets\arrow_forward_icon_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 3, 23
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\settings\presentation\widgets\custom_card_settings_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 3, 56
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\settings\presentation\widgets\image_with_name_and_email_section.dart", "Dart", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 3, 31
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\settings\presentation\widgets\name_and_email_section.dart", "Dart", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 3, 34
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\settings\presentation\widgets\payment_card.dart", "Dart", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 3, 45
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\settings\presentation\widgets\rent_history_card.dart", "Dart", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 3, 45
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\views\about_tab_bar\views\about_tab_bar_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 3, 15
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\views\about_tab_bar\widgets\location_section.dart", "Dart", 0, 0, 0, 0, 0, 0, 98, 0, 0, 0, 1, 3, 102
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\views\about_tab_bar\widgets\owner_image_section.dart", "Dart", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 3, 36
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\views\about_tab_bar\widgets\owner_name_section.dart", "Dart", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 2, 3, 39
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\views\about_tab_bar\widgets\rent_partner_section.dart", "Dart", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 1, 3, 48
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\views\properities_tab_bar\views\properities_tab_bar_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 1, 5, 50
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\views\properities_tab_bar\widgets\addetinal_technical_information.dart", "Dart", 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 3, 59
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\views\properities_tab_bar\widgets\custom_circular_percent_indecitor.dart", "Dart", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 1, 4, 46
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\views\properities_tab_bar\widgets\custom_gallary_image.dart", "Dart", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 3, 26
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\views\properities_tab_bar\widgets\custom_indicator.dart", "Dart", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 2, 38
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\views\properities_tab_bar\widgets\custom_indicator_with_text.dart", "Dart", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 3, 42
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\views\properities_tab_bar\widgets\custom_text_and_icon_section_addetinal_technical_information.dart", "Dart", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 2, 45
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\views\properities_tab_bar\widgets\indicator_information.dart", "Dart", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 2, 37
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\views\properities_tab_bar\widgets\indicator_section.dart", "Dart", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 3, 46
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\views\properities_tab_bar\widgets\technical_information_section.dart", "Dart", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 3, 29
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\views\review_tab_bar\views\review_tab_bar_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 3, 36
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\views\review_tab_bar\widgets\amount_rating_level.dart", "Dart", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 3, 15
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\views\review_tab_bar\widgets\name_and_rate_section.dart", "Dart", 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 3, 50
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\views\review_tab_bar\widgets\name_section.dart", "Dart", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 2, 46
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\views\review_tab_bar\widgets\rating_and_reviews_section.dart", "Dart", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 1, 4, 28
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\views\review_tab_bar\widgets\rating_four_stars.dart", "Dart", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 4, 43
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\views\review_tab_bar\widgets\rating_graph_section.dart", "Dart", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 4, 38
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\views\review_tab_bar\widgets\rating_number_graph_section.dart", "Dart", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 3, 13
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\views\review_tab_bar\widgets\rating_number_section.dart", "Dart", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 4, 42
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\views\review_tab_bar\widgets\see_all_reviews_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 3, 27
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\views\vehicles_details_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 1, 3, 83
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\widgets\book_vehicle_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 1, 3, 42
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\widgets\custom_app_bar.dart", "Dart", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 1, 3, 38
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\widgets\custom_icon_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 2, 51
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\widgets\custom_image_car.dart", "Dart", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 3, 49
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\widgets\over_view_section.dart", "Dart", 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 3, 3, 62
"e:\Projects\P_Android_save\flutter project\aggar\lib\features\vehicles_details\presentation\widgets\tab_bar_section.dart", "Dart", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 3, 41
"e:\Projects\P_Android_save\flutter project\aggar\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 4, 4, 26
"e:\Projects\P_Android_save\flutter project\aggar\linux\flutter\generated_plugin_registrant.cc", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"e:\Projects\P_Android_save\flutter project\aggar\linux\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"e:\Projects\P_Android_save\flutter project\aggar\linux\main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"e:\Projects\P_Android_save\flutter project\aggar\linux\my_application.cc", "C++", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 26, 125
"e:\Projects\P_Android_save\flutter project\aggar\linux\my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
